Liga-ID;Liga-Name;Einladungslink;Teilnehmer1;Teilnehmer2;Teilnehmer3;Teilnehmer4;Teilnehmer5;Teilnehmer6;Teilnehmer7;Teilnehmer8;Teilnehmer9;Teilnehmer10;Teilnehmer11;Teilnehmer12;;;;
840599445597949952;AFFC RL Süd VIII;https://sleeper.app/i/LdPMeo4Xno5w;07slevin;DonPatricio89;uthred122;mkm8;mranderson24;glibrowns;purplepeopleeater09;martinb;albozz88;keeppounding51;Ch4w3z;JoeGold;;;;
840599542578675712;CFFC RL Süd I;https://sleeper.app/i/kLAxe65OW4QG;MikeKI;bergle85;I7an;seehaken1804;denverblossoms;nemil27;mundafinga;leichtle;Grilly75;SSGCheesehead;majormayer;hakuna;;;;
840599594944565248;CFFC RL Süd II;https://sleeper.app/i/jPG0EAnn30MV;Grubinczky;hardy;Robert46;schaf727;chipcha;rou82;alexl89;wavesamu;Meister05;Mariteemo;grimmix;maxi1707;;;;
840599650980450304;CFFC RL Süd III;https://sleeper.app/i/jPG0E1P1XW7x;zeroberto27;janit0r;GFarmer1104;jankretzer;loebi;blacky;aloha31;z0z0z0;flobrlo;Pfandl;brauni166;derbury;;;;
840599716461940736;CFFC RL Süd IV;https://sleeper.app/i/z25LGZGaGYmb;tbalo97;ph1L;AugsburgCapybaras;bavarianravens;Weini;jo3k3r5;gershine;sippi19;davidian;moneymanziel173;julez915;themaxiking;;;;
840599769679233024;CFFC RL Süd V;https://sleeper.app/i/m4O35V8RER55;yanoogs;mcpaulsen;JakooHula;blice;Linsi;chrisfly;marcou21;gehrsky;NinaL;25paru;taffit90;fcb1312;;;;
840599823366332416;CFFC RL Süd  VI;https://sleeper.app/i/JXDY3VeqKZOW;domi94;sophomorepacker;Alexander_H10;0ahnung;jstyle96;Macro345;endmylife1;vic0tp;chiefjakob;ruffa;getim;tigerbeachmirchawks;;;;
840599884125057024;CFFC RL Süd VII;https://sleeper.app/i/m4O35WexXBbY;Thorgrim;sportsteve18;thisismoreno19;bigbluewreckingcrew1;fraenzn;Manager29;n0pik;nuernbergrams;Michavelli;nixnick;sizzel21;Delkra;;;;
840599951464579072;CFFC RL Süd VIII;https://sleeper.app/i/Vdwk3NGmkG7o;obsgi;jaypi91;benefpoh;saintsfl;natixghost;Yodelbert;chris1899;acquijpayya;hurrycane;chrsteinwender;sefi33;crusher50;;;;
863814990430347264;CFFC RL Süd IX;https://sleeper.app/i/E5NzeBe2eqRL;victorg1996;zuggi68;klnfcb;B47Bronco;sirdaclan;bayernjet;rastampf;luaksjets;mardn;x66keepa;wbxravens;rossi178;;;;
840600043575676928;Champions League;https://sleeper.app/i/Vdwk3Y2RjR0M;Einladungen bereits erfolgt;;;;;;;;;;;;;;;
