Liga-ID;Liga-Name;Einladungslink;Teilnehmer1;Teilnehmer2;Teilnehmer3;Teilnehmer4;Teilnehmer5;Teilnehmer6;Teilnehmer7;Teilnehmer8;Teilnehmer9;Teilnehmer10;Teilnehmer11;Teilnehmer12;;;;
840221835697192960;AFFC DivL I;https://sleeper.app/i/JXDVgxjdLYGm;-dabo-;MaxHH2019;JukeboxFabi;stefanbrady;SG7;ritratto;Nico1709;Pip33;LasseTheGM;OGScholz;ironmaik92;sunshinemindberry;;;;
840221893314334720;AFFC DivL II;https://sleeper.app/i/EdYVw291PJd4;MalteZ;DrBanane;bastifantasti;Romadinho;Xarlos48;elcapitan2014;Pumbaaa;ck207;KingBoedi;muh;Danny41;NicDavid;;;;
840221951602589696;AFFC DivL III;https://sleeper.app/i/LdPYm5w5kGGb;FRunner08;MulaC;Bronkochef;Stahlarbeiter;Camvp15;Snowman1989;LennartR97;gohdevil;leg4on;korkenzieher;floousen;Sczepsi99;;;;
840222012990427136;AFFC DivL IV;https://sleeper.app/i/z2506nEReOx6;DocMagic;ucancallmebj;Chris3003;darahan;stien;Saints9510;WieselZap;cornu;tofu_ne;schlagge;pe85;Flycardinalsfly;;;;
840222080745189376;AFFC DivL V;https://sleeper.app/i/0qK6DR9DwgZa;PackermanGER;Matzeo;Cicero2;IngeMeysel;Snakepit82;Trollstigen;MaikKrue;Sic58;freedelcastro;glutenfreevip;Flausch;gestalter;;;;
840222140644061184;AFFC DivL VI;https://sleeper.app/i/QdkDO6z2Q79N;mightyfo0l;rg87;Bappi;BreakingBrady;mucki;01capitain;mced;suunnyy6;lucas_ohne_s;raphduckdynasty;HansHansen;davilesh;;;;
840222206272348160;AFFC DivL VII;https://sleeper.app/i/JXDV8jAm0JZb;FaceS;zmash;FB7;schalkenils;Seniormessi;Jakob2709;wischi;umsti;weidemilchwambo;Thiko;Johnibaer;mw2408;;;;
840222272764624896;AFFC DivL VIII;https://sleeper.app/i/LdPYx5mbMP4m;gardoffl;RedandGold9;hanfulie;Liutasil;Greenhorn1899;Sacksonville1848;Nitze90;P1S2;lowskill;6rmrc;Cwikso;henne2707;;;;
840222332214697984;AFFC DivL IX;https://sleeper.app/i/QdkDOx4dRe7g;TheMikeFantastic;PackmanGermany;NicoS;henhenhenning;TurfMonStar;Ede691;marvgs;Albu;sl33pyweasel;DougFlutie7;bruensen;rocketz;;;;
840222386325430272;AFFC DivL X;https://sleeper.app/i/Vdw4Qbe2oZo3;TheGame1002;cctop;tommyturntable;frapse;citruseffect;jbrenn84;walterfrosch;bayerniner;floddixx;croatoan;Tommof;lazyb;;;;
840222447230922752;AFFC DivL XI;https://sleeper.app/i/LdPYQRQOMW5M;Merz4;patdykes;martin91;realbobby1987;DerJair97;Tenvash;Gobou;apollo12;StuntGee;holdmyrings;EnergizedEU;PattemitdeLatte;;;;
840222520002076672;AFFC DivL XII;https://sleeper.app/i/Vdw4QZwMzq33;moelle;49schock;jannik535;Zachner19;windeladvokat;svenmz;PadMosby;Andeeeee;BC1d3;Pantonius;tzatziki;Stegi;;;;
863583251049086976;AFFC DivL XIII;https://sleeper.app/i/0meQe4NN7XK2;juice8o;zingos;jc918;faulerhans;heinz221;Fabsei;qwertzuiop;gebtor;shorthander;JLSBS;patsnationgo;baker46;;;;
863583339892850688;AFFC DivL XIV;https://sleeper.app/i/YZnRozzn6dZj;therealcf6;xps;Raschiiiiii;Ray612;Kruhlock;dstnvlkl;FcBesi;VanillaThunder804;eml;Tenno91;m1lan;galaxyking;;;;
863583424525545472;AFFC DivL XV;https://sleeper.app/i/VNlGm1knzlaO;monkybird911;Jaydeeinsknie;trooy;Dorsten_Pats;sigmathebeast;Ksion77;SuperErik;gladiu5;Joschi97;albfatier;dahly51;Lucas412;;;;
863583521040658432;AFFC DivL XVI;https://sleeper.app/i/0meQ3aYxDNla;Eiloj;cruncher;diemarco;DjRedhead;domiedel;AlfonsoKaracho;tobsen2807;Mistake04;wainsmiley;chsperling;laastking98;chris237;;;;
